Indicator,Country,Date,value
Number of suspected Ebola cases in the last 21 days,Liberia,9/12/14,286
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,9/12/14,1186
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,9/12/14,518
Number of probable Ebola cases in the last 21 days,Sierra Leone,9/12/14,3
Number of suspected Ebola cases in the last 21 days,Sierra Leone,9/12/14,65
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,9/12/14,586
Number of confirmed Ebola cases in the last 21 days,Nigeria,9/12/14,7
Number of probable Ebola cases in the last 21 days,Nigeria,9/12/14,1
Number of suspected Ebola cases in the last 21 days,Nigeria,9/12/14,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,9/12/14,9
Number of confirmed Ebola cases in the last 21 days,Senegal,9/12/14,1
Number of probable Ebola cases in the last 21 days,Senegal,9/12/14,0
Number of suspected Ebola cases in the last 21 days,Senegal,9/12/14,2
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,9/12/14,3
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,9/12/14,42
Proportion of probable Ebola cases that are from the last 21 days,Guinea,9/12/14,8
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,9/12/14,84
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,9/12/14,38
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,9/12/14,60
Proportion of probable Ebola cases that are from the last 21 days,Liberia,9/12/14,52
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,9/12/14,63
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,9/12/14,57
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,9/12/14,40
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,9/12/14,8
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,9/12/14,65
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,9/12/14,41
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,9/12/14,36.8
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,9/12/14,100
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,9/12/14,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,9/12/14,42.9
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,9/12/14,100
Proportion of probable Ebola cases that are from the last 21 days,Senegal,9/12/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,9/12/14,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,9/12/14,100
Cumulative number of confirmed Ebola deaths,Guinea,9/12/14,403
Cumulative number of probable Ebola deaths,Guinea,9/12/14,150
Cumulative number of suspected Ebola deaths,Guinea,9/12/14,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,9/12/14,557
Cumulative number of confirmed Ebola deaths,Liberia,9/12/14,498
Cumulative number of probable Ebola deaths,Liberia,9/12/14,428
Cumulative number of suspected Ebola deaths,Liberia,9/12/14,211
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,9/12/14,1137
Cumulative number of confirmed Ebola deaths,Sierra Leone,9/12/14,478
Cumulative number of probable Ebola deaths,Sierra Leone,9/12/14,34
Cumulative number of suspected Ebola deaths,Sierra Leone,9/12/14,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,9/12/14,524
Cumulative number of confirmed Ebola deaths,Nigeria,9/12/14,7
Cumulative number of probable Ebola deaths,Nigeria,9/12/14,1
Cumulative number of suspected Ebola deaths,Nigeria,9/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,9/12/14,8
Cumulative number of confirmed Ebola deaths,Senegal,9/12/14,0
Cumulative number of probable Ebola deaths,Senegal,9/12/14,0
Cumulative number of suspected Ebola deaths,Senegal,9/12/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,9/12/14,0
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,9/12/14,59
Case fatality rate (CFR) of probable Ebola cases,Guinea,9/12/14,99
Case fatality rate (CFR) of suspected Ebola cases,Guinea,9/12/14,12
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,9/12/14,65
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,9/12/14,76
Case fatality rate (CFR) of probable Ebola cases,Liberia,9/12/14,44
Case fatality rate (CFR) of suspected Ebola cases,Liberia,9/12/14,47
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,9/12/14,55
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,9/12/14,37
Case fatality rate (CFR) of probable Ebola cases,Sierra Leone,9/12/14,92
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,9/12/14,12
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,9/12/14,37
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,9/12/14,37
Case fatality rate (CFR) of probable Ebola cases,Nigeria,9/12/14,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,9/12/14,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,9/12/14,38
Case fatality rate (CFR) of confirmed Ebola cases,Senegal,9/12/14,0
Case fatality rate (CFR) of probable Ebola cases,Senegal,9/12/14,0
Case fatality rate (CFR) of suspected Ebola cases,Senegal,9/12/14,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Senegal,9/12/14,0
Cumulative number of confirmed Ebola cases,Guinea,9/16/14,743
Cumulative number of probable Ebola cases,Guinea,9/16/14,162
Cumulative number of suspected Ebola cases,Guinea,9/16/14,31
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/16/14,936
Cumulative number of confirmed Ebola cases,Liberia,9/16/14,790
Cumulative number of probable Ebola cases,Liberia,9/16/14,1078
Cumulative number of suspected Ebola cases,Liberia,9/16/14,539
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/16/14,2407
Cumulative number of confirmed Ebola cases,Sierra Leone,9/16/14,1464
Cumulative number of probable Ebola cases,Sierra Leone,9/16/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/16/14,119
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/16/14,1620
Cumulative number of confirmed Ebola cases,Nigeria,9/16/14,19
Cumulative number of probable Ebola cases,Nigeria,9/16/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/16/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/16/14,21
Cumulative number of confirmed Ebola cases,Senegal,9/16/14,1
Cumulative number of probable Ebola cases,Senegal,9/16/14,0
Cumulative number of suspected Ebola cases,Senegal,9/16/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/16/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,9/16/14,276
Number of probable Ebola cases in the last 21 days,Guinea,9/16/14,21
Number of suspected Ebola cases in the last 21 days,Guinea,9/16/14,11
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,9/16/14,308
Number of confirmed Ebola cases in the last 21 days,Liberia,9/16/14,546
Number of probable Ebola cases in the last 21 days,Liberia,9/16/14,539
Number of suspected Ebola cases in the last 21 days,Liberia,9/16/14,298
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,9/16/14,1383
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,9/16/14,583
Number of probable Ebola cases in the last 21 days,Sierra Leone,9/16/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,9/16/14,70
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,9/16/14,653
Number of confirmed Ebola cases in the last 21 days,Nigeria,9/16/14,6
Number of probable Ebola cases in the last 21 days,Nigeria,9/16/14,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,9/16/14,6
Number of confirmed Ebola cases in the last 21 days,Senegal,9/16/14,1
Number of probable Ebola cases in the last 21 days,Senegal,9/16/14,0
Number of suspected Ebola cases in the last 21 days,Senegal,9/16/14,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,9/16/14,1
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,9/16/14,37
Proportion of probable Ebola cases that are from the last 21 days,Guinea,9/16/14,13
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,9/16/14,35
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,9/16/14,33
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,9/16/14,69
Proportion of probable Ebola cases that are from the last 21 days,Liberia,9/16/14,50
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,9/16/14,55
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,9/16/14,57
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,9/16/14,40
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,9/16/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,9/16/14,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,9/16/14,40
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,9/16/14,32
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,9/16/14,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,9/16/14,29
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,9/16/14,100
Proportion of probable Ebola cases that are from the last 21 days,Senegal,9/16/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,9/16/14,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,9/16/14,100
Cumulative number of confirmed Ebola deaths,Guinea,9/16/14,429
Cumulative number of probable Ebola deaths,Guinea,9/16/14,162
Cumulative number of suspected Ebola deaths,Guinea,9/16/14,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,9/16/14,595
Cumulative number of confirmed Ebola deaths,Liberia,9/16/14,563
Cumulative number of probable Ebola deaths,Liberia,9/16/14,472
Cumulative number of suspected Ebola deaths,Liberia,9/16/14,261
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,9/16/14,1296
Cumulative number of confirmed Ebola deaths,Sierra Leone,9/16/14,514
Cumulative number of probable Ebola deaths,Sierra Leone,9/16/14,37
Cumulative number of suspected Ebola deaths,Sierra Leone,9/16/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,9/16/14,562
Cumulative number of confirmed Ebola deaths,Nigeria,9/16/14,7
Cumulative number of probable Ebola deaths,Nigeria,9/16/14,1
Cumulative number of suspected Ebola deaths,Nigeria,9/16/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,9/16/14,8
Cumulative number of confirmed Ebola deaths,Senegal,9/16/14,0
Cumulative number of probable Ebola deaths,Senegal,9/16/14,0
Cumulative number of suspected Ebola deaths,Senegal,9/16/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,9/16/14,0
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,9/16/14,58
Case fatality rate (CFR) of probable Ebola cases,Guinea,9/16/14,100
Case fatality rate (CFR) of suspected Ebola cases,Guinea,9/16/14,13
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,9/16/14,64
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,9/16/14,71
Case fatality rate (CFR) of probable Ebola cases,Liberia,9/16/14,44
Case fatality rate (CFR) of suspected Ebola cases,Liberia,9/16/14,48
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,9/16/14,54
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,9/16/14,35
Case fatality rate (CFR) of probable Ebola cases,Sierra Leone,9/16/14,100
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,9/16/14,9
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,9/16/14,35
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,9/16/14,37
Case fatality rate (CFR) of probable Ebola cases,Nigeria,9/16/14,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,9/16/14,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,9/16/14,38
Case fatality rate (CFR) of confirmed Ebola cases,Senegal,9/16/14,0
Case fatality rate (CFR) of probable Ebola cases,Senegal,9/16/14,0
Case fatality rate (CFR) of suspected Ebola cases,Senegal,9/16/14,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Senegal,9/16/14,0
Cumulative number of confirmed Ebola cases,Guinea,9/18/14,750
Cumulative number of probable Ebola cases,Guinea,9/18/14,162
Cumulative number of suspected Ebola cases,Guinea,9/18/14,30
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/18/14,942
Cumulative number of confirmed Ebola cases,Liberia,9/18/14,812
Cumulative number of probable Ebola cases,Liberia,9/18/14,1233
Cumulative number of suspected Ebola cases,Liberia,9/18/14,675
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/18/14,2710
Cumulative number of confirmed Ebola cases,Sierra Leone,9/18/14,1513
Cumulative number of probable Ebola cases,Sierra Leone,9/18/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/18/14,123
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/18/14,1673
Cumulative number of confirmed Ebola cases,Nigeria,9/18/14,19
Cumulative number of probable Ebola cases,Nigeria,9/18/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/18/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/18/14,21
Cumulative number of confirmed Ebola cases,Senegal,9/18/14,1
Cumulative number of probable Ebola cases,Senegal,9/18/14,0
Cumulative number of suspected Ebola cases,Senegal,9/18/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/18/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,9/18/14,266
Number of probable Ebola cases in the last 21 days,Guinea,9/18/14,21
Number of suspected Ebola cases in the last 21 days,Guinea,9/18/14,25
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,9/18/14,312
Number of confirmed Ebola cases in the last 21 days,Liberia,9/18/14,462
Number of probable Ebola cases in the last 21 days,Liberia,9/18/14,596
Number of suspected Ebola cases in the last 21 days,Liberia,9/18/14,398
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,9/18/14,1429
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,9/18/14,585
Number of probable Ebola cases in the last 21 days,Sierra Leone,9/18/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,9/18/14,69
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,9/18/14,653
Number of confirmed Ebola cases in the last 21 days,Nigeria,9/18/14,5
Number of probable Ebola cases in the last 21 days,Nigeria,9/18/14,0
Number of suspected Ebola cases in the last 21 days,Nigeria,9/18/14,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,9/18/14,6
Number of confirmed Ebola cases in the last 21 days,Senegal,9/18/14,1
Number of probable Ebola cases in the last 21 days,Senegal,9/18/14,0
Number of suspected Ebola cases in the last 21 days,Senegal,9/18/14,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,9/18/14,1
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,9/18/14,36
Proportion of probable Ebola cases that are from the last 21 days,Guinea,9/18/14,13
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,9/18/14,83
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,9/18/14,33
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,9/18/14,57
Proportion of probable Ebola cases that are from the last 21 days,Liberia,9/18/14,46
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,9/18/14,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,9/18/14,52
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,9/18/14,39
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,9/18/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,9/18/14,56
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,9/18/14,39
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,9/18/14,26
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,9/18/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,9/18/14,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,9/18/14,29
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,9/18/14,100
Proportion of probable Ebola cases that are from the last 21 days,Senegal,9/18/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,9/18/14,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,9/18/14,100
Cumulative number of confirmed Ebola deaths,Guinea,9/18/14,435
Cumulative number of probable Ebola deaths,Guinea,9/18/14,161
Cumulative number of suspected Ebola deaths,Guinea,9/18/14,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,9/18/14,601
Cumulative number of confirmed Ebola deaths,Liberia,9/18/14,631
Cumulative number of probable Ebola deaths,Liberia,9/18/14,518
Cumulative number of suspected Ebola deaths,Liberia,9/18/14,310
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,9/18/14,1459
Cumulative number of confirmed Ebola deaths,Sierra Leone,9/18/14,517
Cumulative number of probable Ebola deaths,Sierra Leone,9/18/14,34
Cumulative number of suspected Ebola deaths,Sierra Leone,9/18/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,9/18/14,562
Cumulative number of confirmed Ebola deaths,Nigeria,9/18/14,7
Cumulative number of probable Ebola deaths,Nigeria,9/18/14,1
Cumulative number of suspected Ebola deaths,Nigeria,9/18/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,9/18/14,8
Cumulative number of confirmed Ebola deaths,Senegal,9/18/14,0
Cumulative number of probable Ebola deaths,Senegal,9/18/14,0
Cumulative number of suspected Ebola deaths,Senegal,9/18/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,9/18/14,0
Cumulative number of confirmed Ebola cases,Guinea,9/22/14,818
Cumulative number of probable Ebola cases,Guinea,9/22/14,162
Cumulative number of suspected Ebola cases,Guinea,9/22/14,28
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/22/14,1008
Cumulative number of confirmed Ebola cases,Liberia,9/22/14,863
Cumulative number of probable Ebola cases,Liberia,9/22/14,1342
Cumulative number of suspected Ebola cases,Liberia,9/22/14,817
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/22/14,3022
Cumulative number of confirmed Ebola cases,Sierra Leone,9/22/14,1640
Cumulative number of probable Ebola cases,Sierra Leone,9/22/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/22/14,136
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/22/14,1813
Cumulative number of confirmed Ebola cases,Nigeria,9/22/14,19
Cumulative number of probable Ebola cases,Nigeria,9/22/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/22/14,20
Cumulative number of confirmed Ebola cases,Senegal,9/22/14,1
Cumulative number of probable Ebola cases,Senegal,9/22/14,0
Cumulative number of suspected Ebola cases,Senegal,9/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/22/14,1
Cumulative number of confirmed Ebola deaths,Guinea,9/22/14,465
Cumulative number of probable Ebola deaths,Guinea,9/22/14,162
Cumulative number of suspected Ebola deaths,Guinea,9/22/14,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,9/22/14,632
Cumulative number of confirmed Ebola deaths,Liberia,9/22/14,670
Cumulative number of probable Ebola deaths,Liberia,9/22/14,544
Cumulative number of suspected Ebola deaths,Liberia,9/22/14,364
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,9/22/14,1578
Cumulative number of confirmed Ebola deaths,Sierra Leone,9/22/14,545
Cumulative number of probable Ebola deaths,Sierra Leone,9/22/14,37
Cumulative number of suspected Ebola deaths,Sierra Leone,9/22/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,9/22/14,593
Cumulative number of confirmed Ebola deaths,Nigeria,9/22/14,7
Cumulative number of probable Ebola deaths,Nigeria,9/22/14,1
Cumulative number of suspected Ebola deaths,Nigeria,9/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,9/22/14,8
Cumulative number of confirmed Ebola deaths,Senegal,9/22/14,0
Cumulative number of probable Ebola deaths,Senegal,9/22/14,0
Cumulative number of suspected Ebola deaths,Senegal,9/22/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,9/22/14,0
Cumulative number of confirmed Ebola cases,Guinea,9/24/14,832
Cumulative number of probable Ebola cases,Guinea,9/24/14,162
Cumulative number of suspected Ebola cases,Guinea,9/24/14,28
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/24/14,1022
Cumulative number of confirmed Ebola cases,Liberia,9/24/14,890
Cumulative number of probable Ebola cases,Liberia,9/24/14,1469
Cumulative number of suspected Ebola cases,Liberia,9/24/14,921
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/24/14,3280
Cumulative number of confirmed Ebola cases,Sierra Leone,9/24/14,1745
Cumulative number of probable Ebola cases,Sierra Leone,9/24/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/24/14,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/24/14,1940
Cumulative number of confirmed Ebola cases,Nigeria,9/24/14,19
Cumulative number of probable Ebola cases,Nigeria,9/24/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/24/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/24/14,20
Cumulative number of confirmed Ebola cases,Senegal,9/24/14,1
Cumulative number of probable Ebola cases,Senegal,9/24/14,0
Cumulative number of suspected Ebola cases,Senegal,9/24/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/24/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,9/24/14,256
Number of probable Ebola cases in the last 21 days,Guinea,9/24/14,14
Number of suspected Ebola cases in the last 21 days,Guinea,9/24/14,22
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,9/24/14,292
Number of confirmed Ebola cases in the last 21 days,Liberia,9/24/14,469
Number of probable Ebola cases in the last 21 days,Liberia,9/24/14,648
Number of suspected Ebola cases in the last 21 days,Liberia,9/24/14,590
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,9/24/14,1707
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,9/24/14,644
Number of probable Ebola cases in the last 21 days,Sierra Leone,9/24/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,9/24/14,93
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,9/24/14,737
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,9/24/14,31
Proportion of probable Ebola cases that are from the last 21 days,Guinea,9/24/14,9
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,9/24/14,79
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,9/24/14,29
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,9/24/14,53
Proportion of probable Ebola cases that are from the last 21 days,Liberia,9/24/14,44
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,9/24/14,64
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,9/24/14,52
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,9/24/14,37
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,9/24/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,9/24/14,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,9/24/14,38
Cumulative number of confirmed Ebola deaths,Guinea,9/24/14,468
Cumulative number of probable Ebola deaths,Guinea,9/24/14,162
Cumulative number of suspected Ebola deaths,Guinea,9/24/14,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,9/24/14,635
Cumulative number of confirmed Ebola deaths,Liberia,9/24/14,671
Cumulative number of probable Ebola deaths,Liberia,9/24/14,593
Cumulative number of suspected Ebola deaths,Liberia,9/24/14,413
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,9/24/14,1677
Cumulative number of confirmed Ebola deaths,Sierra Leone,9/24/14,552
Cumulative number of probable Ebola deaths,Sierra Leone,9/24/14,34
Cumulative number of suspected Ebola deaths,Sierra Leone,9/24/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,9/24/14,597
Cumulative number of confirmed Ebola deaths,Nigeria,9/24/14,7
Cumulative number of probable Ebola deaths,Nigeria,9/24/14,1
Cumulative number of suspected Ebola deaths,Nigeria,9/24/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,9/24/14,8
Cumulative number of confirmed Ebola deaths,Senegal,9/24/14,0
Cumulative number of probable Ebola deaths,Senegal,9/24/14,0
Cumulative number of suspected Ebola deaths,Senegal,9/24/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,9/24/14,0
Cumulative number of confirmed Ebola cases,Guinea,9/26/14,876
Cumulative number of probable Ebola cases,Guinea,9/26/14,162
Cumulative number of suspected Ebola cases,Guinea,9/26/14,36
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/26/14,1074
Cumulative number of confirmed Ebola cases,Liberia,9/26/14,914
Cumulative number of probable Ebola cases,Liberia,9/26/14,1539
Cumulative number of suspected Ebola cases,Liberia,9/26/14,1005
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/26/14,3458
Cumulative number of confirmed Ebola cases,Sierra Leone,9/26/14,1816
Cumulative number of probable Ebola cases,Sierra Leone,9/26/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/26/14,168
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/26/14,2021
Cumulative number of confirmed Ebola cases,Nigeria,9/26/14,19
Cumulative number of probable Ebola cases,Nigeria,9/26/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/26/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/26/14,20
Cumulative number of confirmed Ebola cases,Senegal,9/26/14,1
Cumulative number of probable Ebola cases,Senegal,9/26/14,0
Cumulative number of suspected Ebola cases,Senegal,9/26/14,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/26/14,1
Cumulative number of confirmed Ebola deaths,Guinea,9/26/14,481
Cumulative number of probable Ebola deaths,Guinea,9/26/14,162
Cumulative number of suspected Ebola deaths,Guinea,9/26/14,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,9/26/14,648
Cumulative number of confirmed Ebola deaths,Liberia,9/26/14,792
Cumulative number of probable Ebola deaths,Liberia,9/26/14,623
Cumulative number of suspected Ebola deaths,Liberia,9/26/14,415
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,9/26/14,1830
Cumulative number of confirmed Ebola deaths,Sierra Leone,9/26/14,557
Cumulative number of probable Ebola deaths,Sierra Leone,9/26/14,37
Cumulative number of suspected Ebola deaths,Sierra Leone,9/26/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,9/26/14,605
Cumulative number of confirmed Ebola deaths,Nigeria,9/26/14,7
