Indicator,Country,Date,value
Proportion of probable Ebola deaths that are from the last 21 days,Sierra Leone,8/29/14,6
Proportion of suspected Ebola deaths that are from the last 21 days,Sierra Leone,8/29/14,25
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Sierra Leone,8/29/14,9
Proportion of confirmed Ebola deaths that are from the last 21 days,Nigeria,8/29/14,67
Proportion of probable Ebola deaths that are from the last 21 days,Nigeria,8/29/14,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,8/29/14,57
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,8/29/14,60
Case fatality rate (CFR) of probable Ebola cases,Guinea,8/29/14,100
Case fatality rate (CFR) of suspected Ebola cases,Guinea,8/29/14,8
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,8/29/14,66
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,8/29/14,70
Case fatality rate (CFR) of probable Ebola cases,Liberia,8/29/14,45
Case fatality rate (CFR) of suspected Ebola cases,Liberia,8/29/14,44
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,8/29/14,50
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,8/29/14,41
Case fatality rate (CFR) of probable Ebola cases,Sierra Leone,8/29/14,92
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,8/29/14,15
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,8/29/14,41
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,8/29/14,40
Case fatality rate (CFR) of probable Ebola cases,Nigeria,8/29/14,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,8/29/14,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,8/29/14,37
Cumulative number of confirmed Ebola cases,Guinea,9/5/14,604
Cumulative number of probable Ebola cases,Guinea,9/5/14,152
Cumulative number of suspected Ebola cases,Guinea,9/5/14,56
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/5/14,812
Cumulative number of confirmed Ebola cases,Liberia,9/5/14,614
Cumulative number of probable Ebola cases,Liberia,9/5/14,888
Cumulative number of suspected Ebola cases,Liberia,9/5/14,369
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/5/14,1871
Cumulative number of confirmed Ebola cases,Sierra Leone,9/5/14,1146
Cumulative number of probable Ebola cases,Sierra Leone,9/5/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/5/14,78
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/5/14,1261
Cumulative number of confirmed Ebola cases,Nigeria,9/5/14,18
Cumulative number of probable Ebola cases,Nigeria,9/5/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/5/14,3
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/5/14,22
Cumulative number of confirmed Ebola cases,Senegal,9/5/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/5/14,1
Number of confirmed Ebola cases in the last 21 days,Guinea,9/5/14,226
Number of probable Ebola cases in the last 21 days,Guinea,9/5/14,19
Number of suspected Ebola cases in the last 21 days,Guinea,9/5/14,44
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,9/5/14,289
Number of confirmed Ebola cases in the last 21 days,Liberia,9/5/14,414
Number of probable Ebola cases in the last 21 days,Liberia,9/5/14,444
Number of suspected Ebola cases in the last 21 days,Liberia,9/5/14,179
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,9/5/14,1037
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,9/5/14,396
Number of probable Ebola cases in the last 21 days,Sierra Leone,9/5/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,9/5/14,37
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,9/5/14,433
Number of confirmed Ebola cases in the last 21 days,Nigeria,9/5/14,7
Number of probable Ebola cases in the last 21 days,Nigeria,9/5/14,0
Number of suspected Ebola cases in the last 21 days,Nigeria,9/5/14,2
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,9/5/14,9
Number of confirmed Ebola cases in the last 21 days,Senegal,9/5/14,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,9/5/14,1
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,9/5/14,37
Proportion of probable Ebola cases that are from the last 21 days,Guinea,9/5/14,13
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,9/5/14,79
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,9/5/14,36
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,9/5/14,67
Proportion of probable Ebola cases that are from the last 21 days,Liberia,9/5/14,50
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,9/5/14,49
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,9/5/14,55
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,9/5/14,35
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,9/5/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,9/5/14,47
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,9/5/14,34
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,9/5/14,39
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,9/5/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,9/5/14,67
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,9/5/14,41
Proportion of probable Ebola cases that are from the last 21 days,Senegal,9/5/14,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,9/5/14,100
Cumulative number of confirmed Ebola deaths,Guinea,9/5/14,362
Cumulative number of probable Ebola deaths,Guinea,9/5/14,152
Cumulative number of suspected Ebola deaths,Guinea,9/5/14,3
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,9/5/14,517
Cumulative number of confirmed Ebola deaths,Liberia,9/5/14,431
Cumulative number of probable Ebola deaths,Liberia,9/5/14,401
Cumulative number of suspected Ebola deaths,Liberia,9/5/14,257
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,9/5/14,1089
Cumulative number of confirmed Ebola deaths,Sierra Leone,9/5/14,443
Cumulative number of probable Ebola deaths,Sierra Leone,9/5/14,37
Cumulative number of suspected Ebola deaths,Sierra Leone,9/5/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,9/5/14,491
Cumulative number of confirmed Ebola deaths,Nigeria,9/5/14,7
Cumulative number of probable Ebola deaths,Nigeria,9/5/14,1
Cumulative number of suspected Ebola deaths,Nigeria,9/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,9/5/14,8
Cumulative number of confirmed Ebola deaths,Senegal,9/5/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,9/5/14,0
Number of confirmed Ebola deaths in the last 21 days,Guinea,9/5/14,117
Number of probable Ebola deaths in the last 21 days,Guinea,9/5/14,19
Number of suspected Ebola deaths in the last 21 days,Guinea,9/5/14,1
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Guinea,9/5/14,137
Number of confirmed Ebola deaths in the last 21 days,Liberia,9/5/14,253
Number of probable Ebola deaths in the last 21 days,Liberia,9/5/14,199
Number of suspected Ebola deaths in the last 21 days,Liberia,9/5/14,171
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Liberia,9/5/14,623
Number of confirmed Ebola deaths in the last 21 days,Sierra Leone,9/5/14,127
Number of probable Ebola deaths in the last 21 days,Sierra Leone,9/5/14,3
Number of suspected Ebola deaths in the last 21 days,Sierra Leone,9/5/14,6
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Sierra Leone,9/5/14,136
Number of confirmed Ebola deaths in the last 21 days,Nigeria,9/5/14,3
Number of probable Ebola deaths in the last 21 days,Nigeria,9/5/14,1
Number of suspected Ebola deaths in the last 21 days,Nigeria,9/5/14,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Nigeria,9/5/14,4
Number of confirmed Ebola deaths in the last 21 days,Senegal,9/5/14,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Senegal,9/5/14,0
Proportion of confirmed Ebola deaths that are from the last 21 days,Guinea,9/5/14,32
Proportion of probable Ebola deaths that are from the last 21 days,Guinea,9/5/14,13
Proportion of suspected Ebola deaths that are from the last 21 days,Guinea,9/5/14,33
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Guinea,9/5/14,26
Proportion of confirmed Ebola deaths that are from the last 21 days,Liberia,9/5/14,59
Proportion of probable Ebola deaths that are from the last 21 days,Liberia,9/5/14,50
Proportion of suspected Ebola deaths that are from the last 21 days,Liberia,9/5/14,67
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Liberia,9/5/14,57
Proportion of confirmed Ebola deaths that are from the last 21 days,Sierra Leone,9/5/14,29
Proportion of probable Ebola deaths that are from the last 21 days,Sierra Leone,9/5/14,8
Proportion of suspected Ebola deaths that are from the last 21 days,Sierra Leone,9/5/14,55
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Sierra Leone,9/5/14,28
Proportion of confirmed Ebola deaths that are from the last 21 days,Nigeria,9/5/14,43
Proportion of probable Ebola deaths that are from the last 21 days,Nigeria,9/5/14,100
Proportion of suspected Ebola deaths that are from the last 21 days,Nigeria,9/5/14,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,9/5/14,50
Proportion of confirmed Ebola deaths that are from the last 21 days,Senegal,9/5/14,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Senegal,9/5/14,0
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,9/5/14,60
Case fatality rate (CFR) of probable Ebola cases,Guinea,9/5/14,100
Case fatality rate (CFR) of suspected Ebola cases,Guinea,9/5/14,5
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,9/5/14,64
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,9/5/14,70
Case fatality rate (CFR) of probable Ebola cases,Liberia,9/5/14,45
Case fatality rate (CFR) of suspected Ebola cases,Liberia,9/5/14,70
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,9/5/14,58
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,9/5/14,39
Case fatality rate (CFR) of probable Ebola cases,Sierra Leone,9/5/14,100
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,9/5/14,14
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,9/5/14,39
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,9/5/14,39
Case fatality rate (CFR) of probable Ebola cases,Nigeria,9/5/14,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,9/5/14,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,9/5/14,36
Case fatality rate (CFR) of confirmed Ebola cases,Senegal,9/5/14,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Senegal,9/5/14,0
Cumulative number of confirmed Ebola cases,Guinea,9/8/14,664
Cumulative number of probable Ebola cases,Guinea,9/8/14,151
Cumulative number of suspected Ebola cases,Guinea,9/8/14,47
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/8/14,862
Cumulative number of confirmed Ebola cases,Liberia,9/8/14,634
Cumulative number of probable Ebola cases,Liberia,9/8/14,969
Cumulative number of suspected Ebola cases,Liberia,9/8/14,443
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/8/14,2046
Cumulative number of confirmed Ebola cases,Sierra Leone,9/8/14,1234
Cumulative number of probable Ebola cases,Sierra Leone,9/8/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/8/14,90
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/8/14,1361
Cumulative number of confirmed Ebola cases,Nigeria,9/8/14,19
Cumulative number of probable Ebola cases,Nigeria,9/8/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/8/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/8/14,21
Cumulative number of confirmed Ebola cases,Senegal,9/8/14,1
Cumulative number of probable Ebola cases,Senegal,9/8/14,0
Cumulative number of suspected Ebola cases,Senegal,9/8/14,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/8/14,3
Number of confirmed Ebola cases in the last 21 days,Guinea,9/8/14,286
Number of probable Ebola cases in the last 21 days,Guinea,9/8/14,18
Number of suspected Ebola cases in the last 21 days,Guinea,9/8/14,35
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,9/8/14,339
Number of confirmed Ebola cases in the last 21 days,Liberia,9/8/14,434
Number of probable Ebola cases in the last 21 days,Liberia,9/8/14,525
Number of suspected Ebola cases in the last 21 days,Liberia,9/8/14,253
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,9/8/14,1212
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,9/8/14,484
Number of probable Ebola cases in the last 21 days,Sierra Leone,9/8/14,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,9/8/14,49
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,9/8/14,533
Number of confirmed Ebola cases in the last 21 days,Nigeria,9/8/14,7
Number of probable Ebola cases in the last 21 days,Nigeria,9/8/14,1
Number of suspected Ebola cases in the last 21 days,Nigeria,9/8/14,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,9/8/14,8
Number of confirmed Ebola cases in the last 21 days,Senegal,9/8/14,1
Number of probable Ebola cases in the last 21 days,Senegal,9/8/14,0
Number of suspected Ebola cases in the last 21 days,Senegal,9/8/14,2
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,9/8/14,3
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,9/8/14,43
Proportion of probable Ebola cases that are from the last 21 days,Guinea,9/8/14,12
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,9/8/14,74
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,9/8/14,39
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,9/8/14,68
Proportion of probable Ebola cases that are from the last 21 days,Liberia,9/8/14,54
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,9/8/14,57
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,9/8/14,59
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,9/8/14,39
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,9/8/14,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,9/8/14,54
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,9/8/14,39
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,9/8/14,37
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,9/8/14,100
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,9/8/14,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,9/8/14,38
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,9/8/14,100
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,9/8/14,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,9/8/14,100
Cumulative number of confirmed Ebola deaths,Guinea,9/8/14,400
Cumulative number of probable Ebola deaths,Guinea,9/8/14,151
Cumulative number of suspected Ebola deaths,Guinea,9/8/14,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,9/8/14,555
Cumulative number of confirmed Ebola deaths,Liberia,9/8/14,508
Cumulative number of probable Ebola deaths,Liberia,9/8/14,420
Cumulative number of suspected Ebola deaths,Liberia,9/8/14,296
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,9/8/14,1224
Cumulative number of confirmed Ebola deaths,Sierra Leone,9/8/14,461
Cumulative number of probable Ebola deaths,Sierra Leone,9/8/14,37
Cumulative number of suspected Ebola deaths,Sierra Leone,9/8/14,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,9/8/14,509
Cumulative number of confirmed Ebola deaths,Nigeria,9/8/14,7
Cumulative number of probable Ebola deaths,Nigeria,9/8/14,1
Cumulative number of suspected Ebola deaths,Nigeria,9/8/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,9/8/14,8
Cumulative number of confirmed Ebola deaths,Senegal,9/8/14,0
Cumulative number of probable Ebola deaths,Senegal,9/8/14,0
Cumulative number of suspected Ebola deaths,Senegal,9/8/14,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,9/8/14,0
Number of confirmed Ebola deaths in the last 21 days,Guinea,9/8/14,120
Number of probable Ebola deaths in the last 21 days,Guinea,9/8/14,35
Number of suspected Ebola deaths in the last 21 days,Guinea,9/8/14,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Guinea,9/8/14,155
Number of confirmed Ebola deaths in the last 21 days,Liberia,9/8/14,330
Number of probable Ebola deaths in the last 21 days,Liberia,9/8/14,218
Number of suspected Ebola deaths in the last 21 days,Liberia,9/8/14,210
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Liberia,9/8/14,758
Number of confirmed Ebola deaths in the last 21 days,Sierra Leone,9/8/14,148
Number of probable Ebola deaths in the last 21 days,Sierra Leone,9/8/14,0
Number of suspected Ebola deaths in the last 21 days,Sierra Leone,9/8/14,6
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Sierra Leone,9/8/14,154
Number of confirmed Ebola deaths in the last 21 days,Nigeria,9/8/14,3
Number of probable Ebola deaths in the last 21 days,Nigeria,9/8/14,1
Number of suspected Ebola deaths in the last 21 days,Nigeria,9/8/14,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Nigeria,9/8/14,4
Number of confirmed Ebola deaths in the last 21 days,Senegal,9/8/14,0
Number of probable Ebola deaths in the last 21 days,Senegal,9/8/14,0
Number of suspected Ebola deaths in the last 21 days,Senegal,9/8/14,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Senegal,9/8/14,0
Proportion of confirmed Ebola deaths that are from the last 21 days,Guinea,9/8/14,30
Proportion of probable Ebola deaths that are from the last 21 days,Guinea,9/8/14,23
Proportion of suspected Ebola deaths that are from the last 21 days,Guinea,9/8/14,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Guinea,9/8/14,28
Proportion of confirmed Ebola deaths that are from the last 21 days,Liberia,9/8/14,65
Proportion of probable Ebola deaths that are from the last 21 days,Liberia,9/8/14,52
Proportion of suspected Ebola deaths that are from the last 21 days,Liberia,9/8/14,71
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Liberia,9/8/14,62
Proportion of confirmed Ebola deaths that are from the last 21 days,Sierra Leone,9/8/14,32
Proportion of probable Ebola deaths that are from the last 21 days,Sierra Leone,9/8/14,0
Proportion of suspected Ebola deaths that are from the last 21 days,Sierra Leone,9/8/14,55
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Sierra Leone,9/8/14,30
Proportion of confirmed Ebola deaths that are from the last 21 days,Nigeria,9/8/14,43
Proportion of probable Ebola deaths that are from the last 21 days,Nigeria,9/8/14,100
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,9/8/14,50
Cumulative number of confirmed Ebola cases,Guinea,9/12/14,678
Cumulative number of probable Ebola cases,Guinea,9/12/14,151
Cumulative number of suspected Ebola cases,Guinea,9/12/14,32
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,9/12/14,861
Cumulative number of confirmed Ebola cases,Liberia,9/12/14,654
Cumulative number of probable Ebola cases,Liberia,9/12/14,974
Cumulative number of suspected Ebola cases,Liberia,9/12/14,453
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,9/12/14,2081
Cumulative number of confirmed Ebola cases,Sierra Leone,9/12/14,1287
Cumulative number of probable Ebola cases,Sierra Leone,9/12/14,37
Cumulative number of suspected Ebola cases,Sierra Leone,9/12/14,100
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,9/12/14,1424
Cumulative number of confirmed Ebola cases,Nigeria,9/12/14,19
Cumulative number of probable Ebola cases,Nigeria,9/12/14,1
Cumulative number of suspected Ebola cases,Nigeria,9/12/14,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,9/12/14,21
Cumulative number of confirmed Ebola cases,Senegal,9/12/14,1
Cumulative number of probable Ebola cases,Senegal,9/12/14,0
Cumulative number of suspected Ebola cases,Senegal,9/12/14,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,9/12/14,3
Number of confirmed Ebola cases in the last 21 days,Guinea,9/12/14,285
Number of probable Ebola cases in the last 21 days,Guinea,9/12/14,12
Number of suspected Ebola cases in the last 21 days,Guinea,9/12/14,27
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,9/12/14,324
Number of confirmed Ebola cases in the last 21 days,Liberia,9/12/14,394
Number of probable Ebola cases in the last 21 days,Liberia,9/12/14,506
