RouteDataID,countrynum,statenum,Route,RPID,year,AOU,Stop1,Stop2,Stop3,Stop4,Stop5,Stop6,Stop7,Stop8,Stop9,Stop10,Stop11,Stop12,Stop13,Stop14,Stop15,Stop16,Stop17,Stop18,Stop19,Stop20,Stop21,Stop22,Stop23,Stop24,Stop25,Stop26,Stop27,Stop28,Stop29,Stop30,Stop31,Stop32,Stop33,Stop34,Stop35,Stop36,Stop37,Stop38,Stop39,Stop40,Stop41,Stop42,Stop43,Stop44,Stop45,Stop46,Stop47,Stop48,Stop49,Stop50
6172126,840,69,49,101,2003,7610,3,2,1,2,2,3,1,0,2,0,0,1,0,1,1,2,1,5,1,2,2,1,0,1,1,0,1,1,0,2,0,1,3,3,1,0,1,0,1,1,0,2,0,1,0,1,2,0,0,1
6241768,840,69,49,101,2004,7610,5,1,3,3,4,3,2,2,1,2,2,2,1,0,1,0,2,4,3,2,0,2,0,1,1,0,3,0,2,2,0,2,2,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2
6249278,840,69,49,101,2005,7610,3,2,1,2,2,2,1,2,1,0,2,0,0,0,0,1,0,0,3,1,2,1,1,0,1,0,0,2,0,0,0,1,1,0,1,0,2,1,1,0,1,1,1,1,1,0,1,0,0,1
6262127,840,69,49,101,2006,7610,2,3,2,1,2,2,0,0,1,0,4,0,0,1,0,1,3,3,1,0,2,0,0,1,0,2,1,1,0,1,1,2,0,1,1,1,0,0,0,1,0,0,1,2,2,1,0,0,0,2
6262053,840,69,49,101,2007,7610,2,2,1,2,1,2,0,0,1,0,4,0,0,1,0,1,3,3,1,0,2,0,0,1,0,2,1,1,0,1,1,2,0,1,1,1,0,0,0,1,0,0,1,2,2,1,0,0,0,2
6299118,840,69,49,101,2008,7610,2,1,2,1,1,3,1,2,0,1,0,0,1,0,0,1,2,0,1,2,2,2,0,1,0,2,0,2,4,1,1,0,2,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
